"participant","expName","session","subsession","timestamp","event","event_block","event_trial","event_click","mx","my","gx","gy","cx","cy","left","right","dist","isSuccess","width"
"335","gRT-dotprobe-2",0,"ab",1614528.2999999982,"isCalibrating",2,6,19,359,455,-16,299,360,450,"25%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1615928.2400000012,"isCalibrating",2,7,0,358,218,278,198,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1616070.1149999986,"isCalibrating",2,7,1,358,218,382,249,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1616166.2550000001,"isCalibrating",2,7,2,358,218,270,185,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1616314.1250000007,"isCalibrating",2,7,3,358,218,368,268,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1616460.1099999999,"isCalibrating",2,7,4,358,218,399,359,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1616575.1249999993,"isCalibrating",2,7,5,358,218,198,144,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617005.3149999985,"isCalibrating",2,7,6,358,218,120,249,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617165.324999998,"isCalibrating",2,7,7,358,218,381,328,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617275.5450000004,"isCalibrating",2,7,8,358,218,366,383,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617422.9099999976,"isCalibrating",2,7,9,358,218,196,223,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617567.254999998,"isCalibrating",2,7,10,358,218,356,228,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617712.2549999985,"isCalibrating",2,7,11,358,218,347,300,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1617813.3300000008,"isCalibrating",2,7,12,358,218,319,146,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618097.0099999977,"isCalibrating",2,7,13,358,218,272,287,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618244.5999999982,"isCalibrating",2,7,14,358,218,270,63,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618348.4050000007,"isCalibrating",2,7,15,358,218,275,94,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618541.6699999988,"isCalibrating",2,7,16,358,218,568,588,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618686.0749999979,"isCalibrating",2,7,17,358,218,348,324,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618829.604999999,"isCalibrating",2,7,18,358,218,279,186,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1618986.2250000006,"isCalibrating",2,7,19,358,218,404,225,360,225,"25%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1620775.5450000004,"isCalibrating",2,8,0,1086,460,1081,506,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1620875.294999998,"isCalibrating",2,8,1,1086,460,1210,477,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1620973.4849999987,"isCalibrating",2,8,2,1086,460,1160,414,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622360.5250000001,"isCalibrating",2,8,3,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622363.2599999984,"isCalibrating",2,8,4,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622364.9699999988,"isCalibrating",2,8,5,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622366.7050000003,"isCalibrating",2,8,6,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622368.129999999,"isCalibrating",2,8,7,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622369.4299999988,"isCalibrating",2,8,8,1086,460,413,392,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622423.1299999992,"isCalibrating",2,8,9,1082,454,902,282,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622704.8350000004,"isCalibrating",2,8,10,1082,454,1442,467,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1622904.735,"isCalibrating",2,8,11,1082,454,755,67,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623097.1549999996,"isCalibrating",2,8,12,1082,454,881,395,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623244.2549999978,"isCalibrating",2,8,13,1082,454,980,362,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623441.1099999999,"isCalibrating",2,8,14,1082,454,906,372,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623637.1250000012,"isCalibrating",2,8,15,1082,454,750,296,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623784.42,"isCalibrating",2,8,16,1082,454,835,372,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1623976.2100000007,"isCalibrating",2,8,17,1082,454,876,378,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1624176.7199999995,"isCalibrating",2,8,18,1082,454,918,426,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1624400.8900000008,"isCalibrating",2,8,19,1082,454,1076,235,1080,450,"75%","50%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",0,"isValidating",2,0,"nan","nan","nan",21,189,720,225,"50%","25%",699.9264247047686,false,142
"335","gRT-dotprobe-2",0,"ab",550886.7600000014,"isValidating",2,1,"nan","nan","nan",103,152,360,225,"25%","25%",267.1666146808018,false,142
"335","gRT-dotprobe-2",0,"ab",46.760000000940636,"isValidating",2,1,"nan","nan","nan",150,148,360,225,"25%","25%",223.6716343213864,false,142
"335","gRT-dotprobe-2",0,"ab",95.90999999991618,"isValidating",2,1,"nan","nan","nan",125,81,360,225,"25%","25%",275.61023203067043,false,142
"335","gRT-dotprobe-2",0,"ab",140.90000000200234,"isValidating",2,1,"nan","nan","nan",113,75,360,225,"25%","25%",288.9792380085462,false,142
"335","gRT-dotprobe-2",0,"ab",193.28500000108033,"isValidating",2,1,"nan","nan","nan",312,282,360,225,"25%","25%",74.51845409024533,true,142
"335","gRT-dotprobe-2",0,"ab",243.5650000006426,"isValidating",2,1,"nan","nan","nan",320,231,360,225,"25%","25%",40.44749683231337,true,142
"335","gRT-dotprobe-2",0,"ab",289.19999999925494,"isValidating",2,1,"nan","nan","nan",431,141,360,225,"25%","25%",109.98636279102969,true,142
"335","gRT-dotprobe-2",0,"ab",333.750000001397,"isValidating",2,1,"nan","nan","nan",489,137,360,225,"25%","25%",156.1569723067145,false,142
"335","gRT-dotprobe-2",0,"ab",380.08999999868684,"isValidating",2,1,"nan","nan","nan",409,142,360,225,"25%","25%",96.38464608017192,true,142
"335","gRT-dotprobe-2",0,"ab",426.7550000003539,"isValidating",2,1,"nan","nan","nan",256,294,360,225,"25%","25%",124.80785231707178,true,142
"335","gRT-dotprobe-2",0,"ab",474.22500000172295,"isValidating",2,1,"nan","nan","nan",178,292,360,225,"25%","25%",193.94071259021402,false,142
